#{"t_start": 1541111493.6258924, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.551625
-200.0,200,0.740078
-200.0,200,0.893529
-200.0,200,0.893702
-200.0,200,1.050397
-200.0,200,1.050537
-200.0,200,1.203379
-200.0,200,1.203545
-200.0,200,1.575319
-200.0,200,1.575463
-200.0,200,1.663154
-65.0,65,1.663261
-65.0,65,1.663311
-200.0,200,1.933444
-200.0,200,1.933565
-200.0,200,2.05625
-94.0,94,2.056364
-94.0,94,2.056418
-200.0,200,2.089693
-94.0,94,2.089807
-27.0,27,2.089864
-27.0,27,2.089912
-200.0,200,2.369782
-200.0,200,2.369901
-200.0,200,2.408416
-94.0,94,2.408567
-27.0,27,2.408628
-27.0,27,2.408678
-200.0,200,2.541659
-94.0,94,2.541782
-94.0,94,2.541838
-200.0,200,2.584196
-32.0,32,2.584352
-32.0,32,2.584431
-200.0,200,2.634152
-32.0,32,2.634366
-32.0,32,2.634437
-200.0,200,2.926581
-200.0,200,2.926697
-200.0,200,2.975254
-32.0,32,2.975384
-32.0,32,2.975441
-200.0,200,3.026464
-94.0,94,3.026662
-27.0,27,3.02673
-27.0,27,3.026779
-200.0,200,3.171128
-94.0,94,3.171235
-94.0,94,3.171284
-200.0,200,3.514076
-200.0,200,3.51424
-200.0,200,3.558801
-94.0,94,3.55892
-27.0,27,3.558975
-27.0,27,3.559021
-200.0,200,3.72939
-94.0,94,3.72964
-94.0,94,3.729704
-200.0,200,3.771709
-94.0,94,3.771821
-27.0,27,3.771878
-27.0,27,3.771925
-200.0,200,3.809248
-94.0,94,3.809399
-27.0,27,3.809473
-27.0,27,3.809539
-200.0,200,3.917584
-65.0,65,3.917687
-65.0,65,3.917736
-200.0,200,4.23211
-200.0,200,4.232225
-200.0,200,4.282966
-32.0,32,4.283087
-32.0,32,4.283135
-200.0,200,4.384584
-65.0,65,4.384702
-65.0,65,4.384801
-200.0,200,4.690677
-200.0,200,4.690778
-200.0,200,4.730672
-94.0,94,4.730799
-27.0,27,4.730855
-27.0,27,4.730922
-200.0,200,4.781378
-32.0,32,4.781533
-32.0,32,4.781589
-200.0,200,4.9201
-94.0,94,4.920218
-94.0,94,4.920274
-200.0,200,5.21385
-200.0,200,5.213977
-200.0,200,5.260829
-32.0,32,5.260975
-32.0,32,5.26103
-200.0,200,5.299679
-94.0,94,5.299808
-27.0,27,5.299869
-27.0,27,5.299917
-200.0,200,5.591776
-200.0,200,5.591901
-200.0,200,5.635886
-94.0,94,5.636006
-27.0,27,5.636065
-27.0,27,5.636115
-200.0,200,5.940426
-200.0,200,5.940521
-200.0,200,5.988284
-32.0,32,5.9884
-32.0,32,5.988453
-200.0,200,6.128366
-94.0,94,6.128545
-94.0,94,6.128674
-200.0,200,6.272282
-94.0,94,6.272395
-94.0,94,6.27246
-200.0,200,6.324409
-32.0,32,6.32453
-32.0,32,6.324616
-200.0,200,6.622958
-200.0,200,6.623116
-200.0,200,6.91905
-200.0,200,6.919167
-200.0,200,7.199445
-200.0,200,7.199581
-200.0,200,7.235942
-94.0,94,7.236077
-27.0,27,7.236133
-27.0,27,7.236181
