#{"t_start": 1541132087.892488, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.499044
-200.0,200,0.652763
-200.0,200,0.786896
-200.0,200,0.787017
-200.0,200,0.967632
-200.0,200,0.967836
-200.0,200,1.127244
-200.0,200,1.12733
-200.0,200,1.505049
-200.0,200,1.505152
-200.0,200,1.598894
-65.0,65,1.599013
-65.0,65,1.599072
-200.0,200,1.912409
-200.0,200,1.912539
-200.0,200,2.071381
-94.0,94,2.071528
-94.0,94,2.071604
-200.0,200,2.115702
-94.0,94,2.115833
-27.0,27,2.1159
-27.0,27,2.115958
-200.0,200,2.450118
-200.0,200,2.450248
-200.0,200,2.50024
-94.0,94,2.500348
-27.0,27,2.500399
-27.0,27,2.500443
-200.0,200,2.627405
-94.0,94,2.627506
-94.0,94,2.627567
-200.0,200,2.667274
-32.0,32,2.667383
-32.0,32,2.667434
-200.0,200,2.707637
-32.0,32,2.707741
-32.0,32,2.707794
-200.0,200,2.972309
-200.0,200,2.972416
-200.0,200,3.015137
-32.0,32,3.015234
-32.0,32,3.015284
-200.0,200,3.049391
-94.0,94,3.049497
-27.0,27,3.049547
-27.0,27,3.049591
-200.0,200,3.180829
-94.0,94,3.180945
-94.0,94,3.181102
-200.0,200,3.460271
-200.0,200,3.46038
-200.0,200,3.49689
-94.0,94,3.497005
-27.0,27,3.497062
-27.0,27,3.49711
-200.0,200,3.629529
-94.0,94,3.629643
-94.0,94,3.629698
-200.0,200,3.665992
-94.0,94,3.666106
-27.0,27,3.666162
-27.0,27,3.666211
-200.0,200,3.703346
-94.0,94,3.703459
-27.0,27,3.703523
-27.0,27,3.703575
-200.0,200,3.797169
-65.0,65,3.797277
-65.0,65,3.797328
-200.0,200,4.063339
-200.0,200,4.063459
-200.0,200,4.110636
-32.0,32,4.110755
-32.0,32,4.110816
-200.0,200,4.211843
-65.0,65,4.211974
-65.0,65,4.21204
-200.0,200,4.542936
-200.0,200,4.543065
-200.0,200,4.587699
-94.0,94,4.587831
-27.0,27,4.587898
-27.0,27,4.587956
-200.0,200,4.646271
-32.0,32,4.646398
-32.0,32,4.646463
-200.0,200,4.804063
-94.0,94,4.80419
-94.0,94,4.804259
-200.0,200,5.130457
-200.0,200,5.130585
-200.0,200,5.182551
-32.0,32,5.182683
-32.0,32,5.182752
-200.0,200,5.226631
-94.0,94,5.226757
-27.0,27,5.226822
-27.0,27,5.226879
-200.0,200,5.558116
-200.0,200,5.55825
-200.0,200,5.606569
-94.0,94,5.606685
-27.0,27,5.606754
-27.0,27,5.606813
-200.0,200,5.930226
-200.0,200,5.930316
-200.0,200,5.971632
-32.0,32,5.971742
-32.0,32,5.971795
-200.0,200,6.101642
-94.0,94,6.10176
-94.0,94,6.101821
-200.0,200,6.241837
-94.0,94,6.241955
-94.0,94,6.242017
-200.0,200,6.288462
-32.0,32,6.288579
-32.0,32,6.288639
-200.0,200,6.585323
-200.0,200,6.585443
-200.0,200,6.8805
-200.0,200,6.88062
-200.0,200,7.174229
-200.0,200,7.174359
-200.0,200,7.223039
-94.0,94,7.223177
-27.0,27,7.223251
-27.0,27,7.223316
-200.0,200,7.27841
-94.0,94,7.278542
-27.0,27,7.278615
-27.0,27,7.27868
-200.0,200,7.653928
-200.0,200,7.654063
-200.0,200,7.962393
-200.0,200,7.962494
-200.0,200,8.083081
-94.0,94,8.083174
-94.0,94,8.083229
-200.0,200,8.331484
-182.0,182,8.331609
-182.0,182,8.331667
-200.0,200,8.465633
-96.0,96,8.465748
-96.0,96,8.465803
-200.0,200,8.50685
-94.0,94,8.506964
-27.0,27,8.507022
-27.0,27,8.507073
-200.0,200,8.639984
-96.0,96,8.640085
-96.0,96,8.640141
-200.0,200,8.888251
-182.0,182,8.888365
-182.0,182,8.88842
-200.0,200,8.929955
-94.0,94,8.930073
-27.0,27,8.930131
-27.0,27,8.93018
-200.0,200,9.016707
-65.0,65,9.016821
