#{"t_start": 1541043215.9961736, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.476676
-200.0,200,0.626595
-200.0,200,0.852142
-200.0,200,0.852385
-200.0,200,1.025021
-200.0,200,1.025141
-200.0,200,1.194473
-200.0,200,1.194649
-200.0,200,1.563819
-200.0,200,1.563915
-200.0,200,1.647557
-65.0,65,1.647671
-65.0,65,1.647725
-200.0,200,1.911942
-200.0,200,1.912061
-200.0,200,2.038862
-94.0,94,2.038983
-94.0,94,2.039047
-200.0,200,2.074272
-94.0,94,2.074386
-27.0,27,2.074441
-27.0,27,2.074489
-200.0,200,2.339707
-200.0,200,2.339816
-200.0,200,2.379446
-94.0,94,2.379559
-27.0,27,2.379616
-27.0,27,2.379663
-200.0,200,2.504781
-94.0,94,2.504882
-94.0,94,2.504937
-200.0,200,2.545656
-32.0,32,2.545767
-32.0,32,2.545824
-200.0,200,2.58804
-32.0,32,2.588154
-32.0,32,2.588212
-200.0,200,2.850993
-200.0,200,2.851112
-200.0,200,2.895872
-32.0,32,2.895982
-32.0,32,2.896037
-200.0,200,2.930625
-94.0,94,2.930736
-27.0,27,2.930792
-27.0,27,2.930841
-200.0,200,3.057271
-94.0,94,3.05738
-94.0,94,3.057435
-200.0,200,3.372008
-200.0,200,3.372149
-200.0,200,3.422785
-94.0,94,3.422933
-27.0,27,3.423014
-27.0,27,3.423081
-200.0,200,3.600292
-94.0,94,3.600436
-94.0,94,3.600514
-200.0,200,3.649989
-94.0,94,3.650136
-27.0,27,3.650213
-27.0,27,3.650282
-200.0,200,3.699284
-94.0,94,3.699425
-27.0,27,3.699503
-27.0,27,3.69957
-200.0,200,3.824404
-65.0,65,3.824557
-65.0,65,3.824636
-200.0,200,4.228678
-200.0,200,4.228844
-200.0,200,4.297544
-32.0,32,4.2977
-32.0,32,4.29779
-200.0,200,4.440488
-65.0,65,4.440653
-65.0,65,4.44074
-200.0,200,4.871975
-200.0,200,4.872138
-200.0,200,4.923448
-94.0,94,4.923573
-27.0,27,4.923637
-27.0,27,4.923692
-200.0,200,4.978061
-32.0,32,4.978181
-32.0,32,4.978244
-200.0,200,5.123094
-94.0,94,5.123219
-94.0,94,5.123285
-200.0,200,5.449148
-200.0,200,5.449256
-200.0,200,5.489988
-32.0,32,5.490099
-32.0,32,5.490153
-200.0,200,5.5247
-94.0,94,5.524812
-27.0,27,5.524868
-27.0,27,5.524916
-196.0,196,5.77302
-196.0,196,5.77314
-200.0,200,5.858845
-65.0,65,5.858956
-65.0,65,5.859009
-200.0,200,6.115989
-200.0,200,6.116098
-200.0,200,6.150574
-94.0,94,6.150685
-27.0,27,6.15074
-27.0,27,6.150786
-200.0,200,6.406096
-200.0,200,6.406209
-200.0,200,6.490715
-65.0,65,6.490825
-65.0,65,6.49088
-200.0,200,6.611704
-94.0,94,6.611814
-94.0,94,6.611869
-200.0,200,6.736177
-94.0,94,6.736283
-94.0,94,6.736336
-200.0,200,6.788398
-94.0,94,6.788512
-41.0,41,6.788567
-41.0,41,6.788615
-200.0,200,6.840221
-94.0,94,6.840327
-41.0,41,6.84038
-41.0,41,6.840427
-200.0,200,6.886762
-32.0,32,6.886877
-32.0,32,6.886933
-200.0,200,7.01053
-94.0,94,7.010635
-94.0,94,7.010688
-200.0,200,7.265418
-200.0,200,7.265526
-200.0,200,7.38904
-94.0,94,7.389153
-94.0,94,7.389209
-200.0,200,7.645472
-200.0,200,7.645579
-200.0,200,7.679673
-94.0,94,7.679785
-27.0,27,7.67984
-27.0,27,7.679887
-200.0,200,7.731992
-94.0,94,7.732107
-41.0,41,7.732164
-41.0,41,7.732213
-200.0,200,7.740191
-94.0,94,7.740294
-6.0,6,7.740348
-6.0,6,7.740395
-200.0,200,7.798039
-94.0,94,7.798156
-41.0,41,7.798215
-41.0,41,7.798267
-200.0,200,7.919341
-94.0,94,7.919451
-94.0,94,7.919508
-200.0,200,8.041074
-94.0,94,8.041184
-94.0,94,8.04124
-200.0,200,8.314381
-200.0,200,8.314497
-200.0,200,8.372468
-94.0,94,8.37259
-41.0,41,8.37265
-41.0,41,8.372702
-200.0,200,8.652566
-200.0,200,8.652686
-200.0,200,8.697066
-32.0,32,8.697182
-32.0,32,8.69724
-200.0,200,8.757426
-94.0,94,8.757545
-41.0,41,8.757607
-41.0,41,8.757658
-200.0,200,8.890712
-94.0,94,8.890832
-94.0,94,8.890893
-200.0,200,9.024091
-94.0,94,9.024211
-94.0,94,9.024272
-200.0,200,9.061522
-94.0,94,9.061639
-27.0,27,9.061698
-27.0,27,9.061749
-200.0,200,9.154509
-65.0,65,9.154631
-65.0,65,9.1547
-200.0,200,9.204219
-32.0,32,9.204348
-32.0,32,9.204414
-200.0,200,9.252966
-32.0,32,9.253092
-32.0,32,9.253157
-200.0,200,9.307151
-32.0,32,9.307288
-32.0,32,9.307356
-200.0,200,9.35634
-32.0,32,9.356472
-32.0,32,9.356546
-200.0,200,9.463859
-65.0,65,9.463977
-65.0,65,9.46405
-200.0,200,9.513691
-32.0,32,9.513819
-32.0,32,9.513886
-200.0,200,9.863504
-200.0,200,9.863657
-200.0,200,9.91779
-94.0,94,9.917945
-27.0,27,9.918029
-27.0,27,9.918101
-200.0,200,9.982567
-32.0,32,9.982722
-32.0,32,9.982807
-200.0,200,10.370191
-200.0,200,10.370333
-200.0,200,10.381407
-94.0,94,10.381513
-6.0,6,10.381569
-6.0,6,10.381617
-200.0,200,10.389226
-94.0,94,10.389319
-6.0,6,10.389369
-6.0,6,10.389413
-200.0,200,10.509876
-94.0,94,10.509979
-94.0,94,10.510035
-200.0,200,10.544616
-94.0,94,10.544729
-27.0,27,10.544784
-27.0,27,10.54483
-200.0,200,10.801086
-200.0,200,10.801198
-200.0,200,10.883402
-65.0,65,10.883516
-65.0,65,10.883571
-200.0,200,10.929938
-32.0,32,10.930055
-32.0,32,10.930113
-200.0,200,10.969911
-32.0,32,10.970023
-32.0,32,10.970077
-200.0,200,11.237786
-200.0,200,11.237905
-200.0,200,11.518162
-200.0,200,11.518285
-200.0,200,11.563222
-32.0,32,11.563354
-32.0,32,11.563413
-200.0,200,11.623698
-94.0,94,11.623815
-41.0,41,11.623874
-41.0,41,11.623925
-200.0,200,11.669798
-32.0,32,11.669917
-32.0,32,11.669978
-200.0,200,11.806575
-94.0,94,11.806697
-94.0,94,11.80676
-200.0,200,11.939811
-94.0,94,11.939937
-94.0,94,11.939999
-200.0,200,11.997445
-94.0,94,11.997562
-41.0,41,11.997622
-41.0,41,11.997674
-200.0,200,12.058647
-94.0,94,12.058765
-41.0,41,12.058826
-41.0,41,12.058878
