#{"t_start": 1541039876.3287473, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.467762
-200.0,200,0.566395
-200.0,200,0.657489
-200.0,200,0.657581
-200.0,200,0.751912
-200.0,200,0.752008
-200.0,200,0.84377
-200.0,200,0.843864
-200.0,200,1.195483
-200.0,200,1.195578
-200.0,200,1.281885
-65.0,65,1.282003
-65.0,65,1.282052
-200.0,200,1.54828
-200.0,200,1.548384
-200.0,200,1.677181
-94.0,94,1.677293
-94.0,94,1.677349
-200.0,200,1.71319
-94.0,94,1.7133
-27.0,27,1.713352
-27.0,27,1.713426
-200.0,200,1.983927
-200.0,200,1.98404
-200.0,200,2.023087
-94.0,94,2.023196
-27.0,27,2.02325
-27.0,27,2.023297
-200.0,200,2.15104
-94.0,94,2.151143
-94.0,94,2.151208
-200.0,200,2.193601
-32.0,32,2.193703
-32.0,32,2.193749
-200.0,200,2.236288
-32.0,32,2.236391
-32.0,32,2.236439
-200.0,200,2.50598
-200.0,200,2.506089
-200.0,200,2.552792
-32.0,32,2.552939
-32.0,32,2.55299
-200.0,200,2.589828
-94.0,94,2.589931
-27.0,27,2.589979
-27.0,27,2.59002
-200.0,200,2.717828
-94.0,94,2.717957
-94.0,94,2.718008
-200.0,200,2.987054
-200.0,200,2.98716
-200.0,200,3.022922
-94.0,94,3.023033
-27.0,27,3.023101
-27.0,27,3.023158
-200.0,200,3.150686
-94.0,94,3.150789
-94.0,94,3.150838
-200.0,200,3.18606
-94.0,94,3.1862
-27.0,27,3.186254
-27.0,27,3.186326
-200.0,200,3.222502
-94.0,94,3.222614
-27.0,27,3.222691
-27.0,27,3.222733
-200.0,200,3.313566
-65.0,65,3.313673
-65.0,65,3.313724
-200.0,200,3.586538
-200.0,200,3.586654
-200.0,200,3.630315
-32.0,32,3.630439
-32.0,32,3.630489
-200.0,200,3.71996
-65.0,65,3.720066
-65.0,65,3.720116
-200.0,200,3.994484
-200.0,200,3.994605
-200.0,200,4.031831
-94.0,94,4.03194
-27.0,27,4.031993
-27.0,27,4.032065
-200.0,200,4.079286
-32.0,32,4.079429
-32.0,32,4.079481
-200.0,200,4.208019
-94.0,94,4.208132
-94.0,94,4.208187
-200.0,200,4.476732
-200.0,200,4.476833
-200.0,200,4.519902
-32.0,32,4.520018
-32.0,32,4.520065
-200.0,200,4.556071
-94.0,94,4.556189
-27.0,27,4.556239
-27.0,27,4.556281
-200.0,200,4.826921
-200.0,200,4.827029
-200.0,200,4.867962
-94.0,94,4.868056
-27.0,27,4.868105
-27.0,27,4.868146
-200.0,200,5.135679
-200.0,200,5.135767
-200.0,200,5.179012
-32.0,32,5.179133
-32.0,32,5.179185
-200.0,200,5.304196
-94.0,94,5.304319
-94.0,94,5.304367
-200.0,200,5.4338
-94.0,94,5.433928
-94.0,94,5.434028
-200.0,200,5.476568
-32.0,32,5.476734
-32.0,32,5.476784
-200.0,200,5.744893
-200.0,200,5.744998
-200.0,200,6.013855
-200.0,200,6.013957
-200.0,200,6.281575
-200.0,200,6.28169
-200.0,200,6.319312
-94.0,94,6.319414
-27.0,27,6.319464
-27.0,27,6.319505
-200.0,200,6.357645
-94.0,94,6.357773
-27.0,27,6.357832
-27.0,27,6.357882
-200.0,200,6.624389
-200.0,200,6.62451
-200.0,200,6.89457
-200.0,200,6.894788
-200.0,200,7.022391
-94.0,94,7.02248
-94.0,94,7.02253
-200.0,200,7.265374
-182.0,182,7.265478
-182.0,182,7.265527
-200.0,200,7.395995
-96.0,96,7.396117
-96.0,96,7.396167
-200.0,200,7.43624
-94.0,94,7.436365
-27.0,27,7.436451
-27.0,27,7.436511
-200.0,200,7.564584
-96.0,96,7.564687
-96.0,96,7.564754
-200.0,200,7.809477
-182.0,182,7.809632
-182.0,182,7.809682
-200.0,200,7.851585
-94.0,94,7.851694
-27.0,27,7.851747
-27.0,27,7.851793
-200.0,200,7.938008
-65.0,65,7.93812
-65.0,65,7.938174
-200.0,200,8.06691
-96.0,96,8.067058
-96.0,96,8.067122
-200.0,200,8.314146
-182.0,182,8.314273
-182.0,182,8.314324
-200.0,200,8.358161
-32.0,32,8.358279
-32.0,32,8.358328
-200.0,200,8.404901
-32.0,32,8.405041
-32.0,32,8.405127
-200.0,200,8.447892
-32.0,32,8.447994
-32.0,32,8.448044
-200.0,200,8.535765
-65.0,65,8.535872
-65.0,65,8.535922
-200.0,200,8.578284
-32.0,32,8.578394
-32.0,32,8.578448
-200.0,200,8.84826
-200.0,200,8.848378
-200.0,200,8.885967
-94.0,94,8.886071
-27.0,27,8.886148
-27.0,27,8.886204
-200.0,200,8.93179
-32.0,32,8.931904
-32.0,32,8.931951
-200.0,200,9.200306
-200.0,200,9.200412
-200.0,200,9.329664
-96.0,96,9.329762
-96.0,96,9.329825
-200.0,200,9.597671
-200.0,200,9.597766
-200.0,200,9.72552
-94.0,94,9.725639
-94.0,94,9.725687
-200.0,200,9.764908
-94.0,94,9.765017
-27.0,27,9.765088
-27.0,27,9.76513
-200.0,200,9.851516
-65.0,65,9.851625
-65.0,65,9.851678
-200.0,200,9.890813
-94.0,94,9.890924
-27.0,27,9.890977
-27.0,27,9.891023
-200.0,200,9.977496
-65.0,65,9.977618
-65.0,65,9.977671
-200.0,200,10.106108
-94.0,94,10.106222
-94.0,94,10.106276
-200.0,200,10.15182
-32.0,32,10.151922
-32.0,32,10.151969
-200.0,200,10.238405
-65.0,65,10.238531
-65.0,65,10.238584
-200.0,200,10.284781
-32.0,32,10.284882
-32.0,32,10.284933
-200.0,200,10.529904
-182.0,182,10.530025
-182.0,182,10.530129
-200.0,200,10.660412
-96.0,96,10.660522
-96.0,96,10.660576
-200.0,200,10.931841
-200.0,200,10.931945
-200.0,200,10.977681
-32.0,32,10.977801
-32.0,32,10.977862
-200.0,200,11.021273
-32.0,32,11.021375
-32.0,32,11.021422
-200.0,200,11.290325
-200.0,200,11.29044
-200.0,200,11.417224
-94.0,94,11.417338
-94.0,94,11.417393
-200.0,200,11.453393
-94.0,94,11.4539
-27.0,27,11.45395
-27.0,27,11.453992
-200.0,200,11.543288
-65.0,65,11.543403
-65.0,65,11.543472
-200.0,200,11.790917
-182.0,182,11.791036
-182.0,182,11.791084
-200.0,200,12.032427
-182.0,182,12.032543
-182.0,182,12.032615
-200.0,200,12.072537
-94.0,94,12.072644
-27.0,27,12.072694
-27.0,27,12.072736
-200.0,200,12.108462
-94.0,94,12.108567
-27.0,27,12.108633
-27.0,27,12.108675
-200.0,200,12.1448
-94.0,94,12.144902
-27.0,27,12.144955
-27.0,27,12.145037
-200.0,200,12.191654
-32.0,32,12.191766
-32.0,32,12.191843
-200.0,200,12.435395
-182.0,182,12.435506
-182.0,182,12.435571
-200.0,200,12.561266
-94.0,94,12.561398
-94.0,94,12.56145
-200.0,200,12.691127
-96.0,96,12.691286
-96.0,96,12.691366
-200.0,200,12.958916
-200.0,200,12.959023
-200.0,200,13.205645
-182.0,182,13.205772
-182.0,182,13.205859
-200.0,200,13.334708
-96.0,96,13.33482
-96.0,96,13.334873
-200.0,200,13.578521
-182.0,182,13.578646
-182.0,182,13.578696
-200.0,200,13.617057
-182.0,182,13.617168
-30.0,30,13.617224
-30.0,30,13.61727
-200.0,200,13.657685
-182.0,182,13.657803
-30.0,30,13.657851
-30.0,30,13.657892
-200.0,200,13.695858
-94.0,94,13.69597
-27.0,27,13.696027
-27.0,27,13.696075
-200.0,200,13.962172
-200.0,200,13.962292
-200.0,200,14.08783
-94.0,94,14.087935
-94.0,94,14.087986
-200.0,200,14.129561
-32.0,32,14.129684
-32.0,32,14.129748
-200.0,200,14.249711
-89.0,89,14.249812
