#{"t_start": 1540442031.8099895, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.500171
-200.0,200,0.607362
-3.0,3,0.609076
-3.0,3,0.610679
-3.0,3,0.612833
-3.0,3,0.614403
-3.0,3,0.615789
-3.0,3,0.617127
-3.0,3,0.618583
-3.0,3,0.620102
-3.0,3,0.6216
-3.0,3,0.623025
-3.0,3,0.624457
-3.0,3,0.625908
-3.0,3,0.627626
-3.0,3,0.630044
-3.0,3,0.631886
-3.0,3,0.633893
-3.0,3,0.635587
-3.0,3,0.637
-3.0,3,0.638439
-3.0,3,0.639872
-3.0,3,0.641333
-3.0,3,0.642853
-3.0,3,0.644248
-3.0,3,0.645643
-3.0,3,0.647074
-3.0,3,0.648644
-3.0,3,0.650334
-3.0,3,0.651914
-3.0,3,0.653512
-3.0,3,0.654934
-3.0,3,0.656189
-3.0,3,0.65767
-3.0,3,0.659077
-3.0,3,0.665396
-200.0,200,0.765983
-10.0,10,0.771253
-200.0,200,0.868257
-101.0,101,1.017282
-4.0,4,1.023229
-4.0,4,1.029138
-4.0,4,1.036703
-4.0,4,1.042982
-4.0,4,1.050151
-4.0,4,1.057446
-4.0,4,1.065907
-4.0,4,1.073954
-4.0,4,1.079615
-4.0,4,1.085541
-4.0,4,1.09083
-4.0,4,1.096745
-4.0,4,1.102705
-4.0,4,1.111139
-4.0,4,1.116898
-4.0,4,1.123687
-4.0,4,1.129944
-4.0,4,1.135175
-4.0,4,1.140374
-4.0,4,1.14578
-4.0,4,1.151128
-4.0,4,1.159352
-4.0,4,1.165013
-4.0,4,1.170528
-4.0,4,1.175794
-4.0,4,1.180738
-4.0,4,1.185657
-4.0,4,1.190539
-4.0,4,1.195441
-4.0,4,1.200374
-4.0,4,1.205323
-4.0,4,1.210137
-4.0,4,1.214802
-4.0,4,1.219772
-4.0,4,1.224902
-4.0,4,1.230007
-4.0,4,1.235097
-4.0,4,1.239945
-4.0,4,1.244999
-4.0,4,1.25051
-5.0,5,1.256902
-5.0,5,1.264136
-5.0,5,1.270408
-4.0,4,1.275342
-4.0,4,1.280922
-4.0,4,1.289356
-4.0,4,1.294994
-4.0,4,1.30007
-4.0,4,1.305007
-4.0,4,1.311189
-4.0,4,1.316646
-4.0,4,1.32183
-4.0,4,1.327238
-5.0,5,1.333443
-5.0,5,1.339708
-5.0,5,1.345851
-5.0,5,1.352348
-5.0,5,1.358785
-5.0,5,1.36518
-4.0,4,1.370375
-4.0,4,1.375444
-4.0,4,1.380172
-4.0,4,1.385106
-4.0,4,1.390571
-4.0,4,1.395964
-4.0,4,1.400884
-4.0,4,1.405971
-4.0,4,1.411445
-4.0,4,1.416526
-4.0,4,1.426764
-4.0,4,1.431796
-4.0,4,1.436548
-4.0,4,1.441484
-4.0,4,1.446539
-4.0,4,1.451802
-4.0,4,1.456647
-4.0,4,1.461495
-4.0,4,1.466469
-4.0,4,1.471318
-4.0,4,1.476332
-4.0,4,1.48108
-4.0,4,1.486056
-4.0,4,1.491018
-4.0,4,1.495935
-4.0,4,1.500897
-4.0,4,1.505774
-4.0,4,1.510573
-4.0,4,1.515452
-4.0,4,1.520384
-4.0,4,1.525188
-4.0,4,1.529976
-4.0,4,1.534821
-4.0,4,1.539875
-4.0,4,1.544911
-4.0,4,1.553213
-4.0,4,1.558065
-4.0,4,1.563139
-4.0,4,1.567934
-4.0,4,1.572726
-4.0,4,1.577931
-4.0,4,1.582929
-4.0,4,1.587834
-4.0,4,1.592749
-4.0,4,1.597855
-4.0,4,1.602959
-4.0,4,1.607969
-4.0,4,1.612912
-4.0,4,1.617708
-4.0,4,1.622423
-4.0,4,1.62732
-4.0,4,1.632234
-4.0,4,1.637089
-4.0,4,1.642172
-4.0,4,1.647059
-4.0,4,1.657462
-4.0,4,1.663934
-4.0,4,1.669088
-4.0,4,1.674365
-4.0,4,1.679622
-4.0,4,1.691645
-200.0,200,1.955296
-12.0,12,1.970669
-12.0,12,1.986941
-12.0,12,2.002669
-9.0,9,2.014753
-12.0,12,2.030641
-11.0,11,2.044748
-11.0,11,2.059123
-12.0,12,2.074969
-12.0,12,2.095161
-12.0,12,2.111039
-13.0,13,2.127946
-9.0,9,2.139596
-9.0,9,2.151212
-9.0,9,2.162765
-9.0,9,2.17513
-12.0,12,2.19075
-10.0,10,2.20404
-10.0,10,2.216962
