#{"t_start": 1541038201.4087198, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.454362
-200.0,200,0.571484
-200.0,200,0.739486
-200.0,200,0.739696
-200.0,200,0.926699
-200.0,200,0.926836
-200.0,200,1.102165
-200.0,200,1.102294
-200.0,200,1.45547
-200.0,200,1.455579
-200.0,200,1.551442
-65.0,65,1.551566
-65.0,65,1.55163
-200.0,200,1.854103
-200.0,200,1.854226
-200.0,200,1.997698
-94.0,94,1.997828
-94.0,94,1.997889
-200.0,200,2.037889
-94.0,94,2.038014
-27.0,27,2.038079
-27.0,27,2.038135
-200.0,200,2.339597
-200.0,200,2.33972
-200.0,200,2.383975
-94.0,94,2.384099
-27.0,27,2.384164
-27.0,27,2.384221
-200.0,200,2.525393
-94.0,94,2.525506
-94.0,94,2.525571
-200.0,200,2.573589
-32.0,32,2.573713
-32.0,32,2.573776
-200.0,200,2.62062
-32.0,32,2.620739
-32.0,32,2.620802
-200.0,200,2.922799
-200.0,200,2.922928
-200.0,200,2.975456
-32.0,32,2.975578
-32.0,32,2.97564
-200.0,200,3.015579
-94.0,94,3.015701
-27.0,27,3.015765
-27.0,27,3.015821
-200.0,200,3.158458
-94.0,94,3.158579
-94.0,94,3.158645
-200.0,200,3.456857
-200.0,200,3.456983
-200.0,200,3.49692
-94.0,94,3.497041
-27.0,27,3.497105
-27.0,27,3.497159
-200.0,200,3.640383
-94.0,94,3.640514
-94.0,94,3.640583
-200.0,200,3.680576
-94.0,94,3.680699
-27.0,27,3.680761
-27.0,27,3.680815
-200.0,200,3.720287
-94.0,94,3.720408
-27.0,27,3.720472
-27.0,27,3.720528
-200.0,200,3.82018
-65.0,65,3.820303
-65.0,65,3.820369
-200.0,200,4.120121
-200.0,200,4.120243
-200.0,200,4.167179
-32.0,32,4.167304
-32.0,32,4.167367
-200.0,200,4.266923
-65.0,65,4.267053
-65.0,65,4.267119
-200.0,200,4.568634
-200.0,200,4.568757
-200.0,200,4.608699
-94.0,94,4.608821
-27.0,27,4.608886
-27.0,27,4.608941
-200.0,200,4.661082
-32.0,32,4.661194
-32.0,32,4.661249
-200.0,200,4.786667
-94.0,94,4.786774
-94.0,94,4.786829
-200.0,200,5.078244
-200.0,200,5.078376
-200.0,200,5.129053
-32.0,32,5.129186
-32.0,32,5.129256
-200.0,200,5.173553
-94.0,94,5.173682
-27.0,27,5.173751
-27.0,27,5.17381
-200.0,200,5.498198
-200.0,200,5.498336
-200.0,200,5.545708
-94.0,94,5.545827
-27.0,27,5.545896
-27.0,27,5.545956
-200.0,200,5.879658
-200.0,200,5.879783
-200.0,200,5.937192
-32.0,32,5.937335
-32.0,32,5.937413
-200.0,200,6.112121
-94.0,94,6.112266
-94.0,94,6.112345
-200.0,200,6.289399
-94.0,94,6.289537
-94.0,94,6.289614
-200.0,200,6.347662
-32.0,32,6.347803
-32.0,32,6.347879
-200.0,200,6.718867
-200.0,200,6.719019
-200.0,200,7.056002
-200.0,200,7.056117
-200.0,200,7.327153
-200.0,200,7.327265
-200.0,200,7.363382
-94.0,94,7.363498
-27.0,27,7.363555
-27.0,27,7.363605
-200.0,200,7.403833
-94.0,94,7.403943
-27.0,27,7.404002
-27.0,27,7.404054
-200.0,200,7.692839
-200.0,200,7.692954
-200.0,200,7.993762
-200.0,200,7.993882
-200.0,200,8.134503
-94.0,94,8.134615
-94.0,94,8.134686
-200.0,200,8.4047
-182.0,182,8.404824
-182.0,182,8.404888
-200.0,200,8.54911
-96.0,96,8.549232
-96.0,96,8.549295
-200.0,200,8.594311
-94.0,94,8.594429
-27.0,27,8.594492
-27.0,27,8.594547
-200.0,200,8.738528
-96.0,96,8.738637
-96.0,96,8.738709
-200.0,200,9.008537
-182.0,182,9.008665
-182.0,182,9.008731
-200.0,200,9.052992
-94.0,94,9.053119
-27.0,27,9.053184
-27.0,27,9.05324
-200.0,200,9.148135
-65.0,65,9.14826
-65.0,65,9.148322
-200.0,200,9.291728
-96.0,96,9.291854
-96.0,96,9.291919
-200.0,200,9.565715
-182.0,182,9.565841
-182.0,182,9.565907
-200.0,200,9.613697
-32.0,32,9.61382
-32.0,32,9.613884
-200.0,200,9.665732
-32.0,32,9.665854
-32.0,32,9.665918
-200.0,200,9.712463
-32.0,32,9.712587
-32.0,32,9.71265
-200.0,200,9.811931
-65.0,65,9.812051
-65.0,65,9.812117
-200.0,200,9.859148
-32.0,32,9.85927
-32.0,32,9.859334
-200.0,200,10.160126
-200.0,200,10.16025
-200.0,200,10.200745
-94.0,94,10.20087
-27.0,27,10.200932
-27.0,27,10.200987
-200.0,200,10.253007
-32.0,32,10.253125
-32.0,32,10.253191
-200.0,200,10.550756
-200.0,200,10.550874
-200.0,200,10.695303
-96.0,96,10.695412
-96.0,96,10.695476
-200.0,200,10.997761
-200.0,200,10.997889
-200.0,200,11.152405
-94.0,94,11.15254
-94.0,94,11.152613
-200.0,200,11.203207
-94.0,94,11.203344
-27.0,27,11.203415
-27.0,27,11.203477
-200.0,200,11.31065
-65.0,65,11.310794
-65.0,65,11.310863
-200.0,200,11.360206
-94.0,94,11.360343
-27.0,27,11.360418
-27.0,27,11.360481
-200.0,200,11.467458
-65.0,65,11.467594
-65.0,65,11.467665
-200.0,200,11.626653
-94.0,94,11.626798
-94.0,94,11.62687
-200.0,200,11.684933
-32.0,32,11.685065
-32.0,32,11.685138
-200.0,200,11.792784
-65.0,65,11.792917
-65.0,65,11.792989
-200.0,200,11.85023
-32.0,32,11.850357
-32.0,32,11.850429
-200.0,200,12.155112
-182.0,182,12.155252
-182.0,182,12.155324
-200.0,200,12.316741
-96.0,96,12.316876
-96.0,96,12.31695
-200.0,200,12.64748
-200.0,200,12.647601
-200.0,200,12.697656
-32.0,32,12.697774
-32.0,32,12.697834
-200.0,200,12.743225
-32.0,32,12.743344
-32.0,32,12.743405
-200.0,200,13.033666
-200.0,200,13.033785
-200.0,200,13.170518
-94.0,94,13.170637
-94.0,94,13.17071
-200.0,200,13.209913
-94.0,94,13.21004
-27.0,27,13.210109
-27.0,27,13.210175
-200.0,200,13.306185
-65.0,65,13.306302
-65.0,65,13.306364
-200.0,200,13.571476
-182.0,182,13.571592
-182.0,182,13.571653
-200.0,200,13.841292
-182.0,182,13.841428
-182.0,182,13.841498
-200.0,200,13.888832
-94.0,94,13.888966
-27.0,27,13.889036
-27.0,27,13.889096
-200.0,200,13.932298
-94.0,94,13.932429
-27.0,27,13.932498
-27.0,27,13.932558
-200.0,200,13.977909
-94.0,94,13.978042
-27.0,27,13.978117
-27.0,27,13.978184
-200.0,200,14.035003
-32.0,32,14.03513
-32.0,32,14.035203
-200.0,200,14.331722
-182.0,182,14.331856
-182.0,182,14.331927
-200.0,200,14.485397
-94.0,94,14.48553
-94.0,94,14.485602
-200.0,200,14.642375
-96.0,96,14.642512
-96.0,96,14.642589
-200.0,200,14.967114
-200.0,200,14.967248
