#{"t_start": 1541068598.3606026, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.516605
-200.0,200,0.70477
-200.0,200,0.871883
-200.0,200,0.872121
-200.0,200,1.046255
-200.0,200,1.046474
-200.0,200,1.217037
-200.0,200,1.217193
-200.0,200,1.625139
-200.0,200,1.625231
-200.0,200,1.709965
-65.0,65,1.710073
-65.0,65,1.710127
-200.0,200,1.978487
-200.0,200,1.978599
-200.0,200,2.108178
-94.0,94,2.108291
-94.0,94,2.108344
-200.0,200,2.144146
-94.0,94,2.144256
-27.0,27,2.14431
-27.0,27,2.144356
-200.0,200,2.412607
-200.0,200,2.412722
-200.0,200,2.452171
-94.0,94,2.452279
-27.0,27,2.452333
-27.0,27,2.45238
-200.0,200,2.580394
-94.0,94,2.580497
-94.0,94,2.580552
-200.0,200,2.6228
-32.0,32,2.622911
-32.0,32,2.622966
-200.0,200,2.664636
-32.0,32,2.664747
-32.0,32,2.6648
-200.0,200,2.932345
-200.0,200,2.93246
-200.0,200,2.978696
-32.0,32,2.978805
-32.0,32,2.978859
-200.0,200,3.01432
-94.0,94,3.014431
-27.0,27,3.014484
-27.0,27,3.014529
-200.0,200,3.142892
-94.0,94,3.142996
-94.0,94,3.143049
-200.0,200,3.412268
-200.0,200,3.412377
-200.0,200,3.447659
-94.0,94,3.44777
-27.0,27,3.447824
-27.0,27,3.44787
-200.0,200,3.574837
-94.0,94,3.574946
-94.0,94,3.574999
-200.0,200,3.611406
-94.0,94,3.611519
-27.0,27,3.611573
-27.0,27,3.61162
-200.0,200,3.647831
-94.0,94,3.647941
-27.0,27,3.647995
-27.0,27,3.648042
-200.0,200,3.738469
-65.0,65,3.738587
-65.0,65,3.738642
-200.0,200,4.006385
-200.0,200,4.006492
-200.0,200,4.048802
-32.0,32,4.048915
-32.0,32,4.048969
-200.0,200,4.138114
-65.0,65,4.138223
-65.0,65,4.138276
-200.0,200,4.407375
-200.0,200,4.407485
-200.0,200,4.443169
-94.0,94,4.44328
-27.0,27,4.443335
-27.0,27,4.443383
-200.0,200,4.490995
-32.0,32,4.491106
-32.0,32,4.491158
-200.0,200,4.620087
-94.0,94,4.620193
-94.0,94,4.620247
-200.0,200,4.900809
-200.0,200,4.900925
-200.0,200,4.94796
-32.0,32,4.948078
-32.0,32,4.948138
-200.0,200,4.98795
-94.0,94,4.988068
-27.0,27,4.988128
-27.0,27,4.988181
-200.0,200,5.304712
-200.0,200,5.304846
-200.0,200,5.353647
-94.0,94,5.353758
-27.0,27,5.353822
-27.0,27,5.353878
-200.0,200,5.685355
-200.0,200,5.685465
-200.0,200,5.737809
-32.0,32,5.737937
-32.0,32,5.738003
-200.0,200,5.894948
-94.0,94,5.895075
-94.0,94,5.895141
-200.0,200,6.059493
-94.0,94,6.059645
-94.0,94,6.05973
-200.0,200,6.128631
-32.0,32,6.128783
-32.0,32,6.128867
-200.0,200,6.564802
-200.0,200,6.564983
-200.0,200,7.085849
-200.0,200,7.086032
-200.0,200,7.602396
-200.0,200,7.602581
-200.0,200,7.673121
-94.0,94,7.6733
-27.0,27,7.6734
-27.0,27,7.673488
-200.0,200,7.750295
-94.0,94,7.750471
-27.0,27,7.750572
-27.0,27,7.750661
-200.0,200,8.273655
-200.0,200,8.273831
-200.0,200,8.789102
-200.0,200,8.789279
-200.0,200,9.035349
-94.0,94,9.035509
-94.0,94,9.035607
-200.0,200,9.502907
-182.0,182,9.503093
-182.0,182,9.503194
-200.0,200,9.752458
-96.0,96,9.752641
-96.0,96,9.752741
-200.0,200,9.830775
-94.0,94,9.830962
-27.0,27,9.831063
-27.0,27,9.831149
-200.0,200,10.082335
-96.0,96,10.082508
-96.0,96,10.082608
-200.0,200,10.547036
-182.0,182,10.547223
-182.0,182,10.547325
-200.0,200,10.622856
-94.0,94,10.623034
-27.0,27,10.623134
-27.0,27,10.623222
-200.0,200,10.78998
-65.0,65,10.790159
-65.0,65,10.790256
-200.0,200,11.038291
-96.0,96,11.038473
-96.0,96,11.038572
-200.0,200,11.510504
-182.0,182,11.51069
-182.0,182,11.510805
-200.0,200,11.592619
-32.0,32,11.592798
-32.0,32,11.592897
-200.0,200,11.682195
-32.0,32,11.682378
-32.0,32,11.682477
-200.0,200,11.763198
-32.0,32,11.763377
-32.0,32,11.763476
-200.0,200,11.937112
-65.0,65,11.937295
-65.0,65,11.937394
-200.0,200,12.017615
-32.0,32,12.017788
-32.0,32,12.017885
-200.0,200,12.537969
-200.0,200,12.538151
-200.0,200,12.606734
-94.0,94,12.606928
-27.0,27,12.60703
-27.0,27,12.607119
-200.0,200,12.695714
-32.0,32,12.69589
-32.0,32,12.695991
-200.0,200,13.073205
-200.0,200,13.073334
-200.0,200,13.241165
-96.0,96,13.241285
-96.0,96,13.241351
-200.0,200,13.583412
-200.0,200,13.583536
-200.0,200,13.740618
-94.0,94,13.740751
-94.0,94,13.740829
-200.0,200,13.792046
-94.0,94,13.792184
-27.0,27,13.792254
-27.0,27,13.792315
-200.0,200,13.901146
-65.0,65,13.901275
-65.0,65,13.901341
-200.0,200,13.954117
-94.0,94,13.954252
-27.0,27,13.954319
-27.0,27,13.954378
-200.0,200,14.063796
-65.0,65,14.063931
-65.0,65,14.064
-200.0,200,14.228097
-94.0,94,14.228235
-94.0,94,14.228304
-200.0,200,14.28911
-32.0,32,14.289236
-32.0,32,14.289304
-200.0,200,14.399654
-65.0,65,14.399786
-65.0,65,14.399854
-200.0,200,14.459024
-32.0,32,14.459145
-32.0,32,14.459214
-200.0,200,14.771359
-182.0,182,14.771496
-182.0,182,14.771565
-200.0,200,14.941023
-96.0,96,14.941158
-96.0,96,14.941227
-200.0,200,15.291509
-200.0,200,15.291643
-200.0,200,15.351521
-32.0,32,15.351652
-32.0,32,15.35172
-200.0,200,15.406805
-32.0,32,15.406937
-32.0,32,15.407003
-200.0,200,15.764235
-200.0,200,15.764385
-200.0,200,15.953429
-94.0,94,15.953579
-94.0,94,15.953656
-200.0,200,16.005752
-94.0,94,16.0059
-27.0,27,16.005979
-27.0,27,16.006048
-200.0,200,16.142277
-65.0,65,16.142438
-65.0,65,16.142526
-200.0,200,16.495217
-182.0,182,16.495338
-182.0,182,16.495401
-200.0,200,16.802588
-182.0,182,16.80273
-182.0,182,16.802815
-200.0,200,16.856216
-94.0,94,16.856356
-27.0,27,16.85643
-27.0,27,16.856494
-200.0,200,16.905025
-94.0,94,16.905157
-27.0,27,16.905226
-27.0,27,16.905287
-200.0,200,16.95448
-94.0,94,16.954618
-27.0,27,16.954691
-27.0,27,16.954752
-200.0,200,17.01727
-32.0,32,17.017401
-32.0,32,17.01747
-200.0,200,17.325619
-182.0,182,17.325746
-182.0,182,17.325808
-200.0,200,17.472326
-94.0,94,17.47245
-94.0,94,17.472511
-200.0,200,17.621404
-96.0,96,17.621529
-96.0,96,17.621593
-200.0,200,17.932534
-200.0,200,17.932658
-200.0,200,18.216777
-182.0,182,18.216907
-182.0,182,18.21699
-200.0,200,18.36659
-96.0,96,18.366714
-96.0,96,18.366775
-200.0,200,18.652943
-182.0,182,18.653068
-182.0,182,18.653128
-200.0,200,18.699467
-182.0,182,18.69959
-30.0,30,18.699653
-30.0,30,18.69971
-200.0,200,18.74586
-182.0,182,18.745982
-30.0,30,18.746043
-30.0,30,18.746097
-200.0,200,18.792303
-94.0,94,18.792427
-27.0,27,18.792488
-27.0,27,18.792541
-200.0,200,19.104835
-200.0,200,19.104953
-200.0,200,19.251683
-94.0,94,19.251807
-94.0,94,19.251871
-200.0,200,19.29992
-32.0,32,19.300042
-32.0,32,19.3001
-200.0,200,19.43845
-89.0,89,19.438573
-89.0,89,19.438636
-200.0,200,19.484511
-182.0,182,19.484634
-30.0,30,19.484696
-30.0,30,19.48475
-200.0,200,19.631521
-94.0,94,19.631643
-94.0,94,19.631703
-200.0,200,19.680893
-32.0,32,19.681018
-32.0,32,19.681077
-200.0,200,19.727433
-94.0,94,19.727557
-27.0,27,19.727618
-27.0,27,19.727671
-200.0,200,19.952535
-182.0,182,19.952659
-147.0,147,19.952723
-147.0,147,19.952778
-200.0,200,20.2753
-200.0,200,20.275438
-200.0,200,20.432192
-89.0,89,20.432327
-89.0,89,20.432396
-200.0,200,20.598621
-94.0,94,20.598809
-94.0,94,20.598888
-200.0,200,20.645716
-94.0,94,20.645845
-27.0,27,20.645916
-27.0,27,20.645976
-200.0,200,20.799792
-89.0,89,20.799925
-89.0,89,20.799994
-200.0,200,20.916402
-65.0,65,20.916533
-65.0,65,20.916601
-200.0,200,21.084556
-96.0,96,21.084688
-96.0,96,21.084757
-200.0,200,21.343268
-182.0,182,21.343419
-147.0,147,21.343498
-147.0,147,21.343568
-200.0,200,21.411777
-32.0,32,21.41192
-32.0,32,21.411999
-200.0,200,21.775081
-182.0,182,21.775234
-182.0,182,21.775314
-200.0,200,21.839045
-182.0,182,21.839193
-30.0,30,21.839269
-30.0,30,21.839336
-200.0,200,21.902252
-32.0,32,21.902392
-32.0,32,21.902468
-200.0,200,22.104222
-182.0,182,22.10437
-103.0,103,22.104449
-103.0,103,22.104516
-200.0,200,22.259816
-89.0,89,22.259946
-89.0,89,22.260013
-200.0,200,22.271446
-94.0,94,22.271559
-7.0,7,22.271626
-7.0,7,22.271685
-200.0,200,22.323909
-32.0,32,22.324034
-32.0,32,22.324099
-200.0,200,22.569191
-182.0,182,22.569324
-147.0,147,22.569391
-147.0,147,22.56945
-200.0,200,22.581123
-94.0,94,22.581238
-7.0,7,22.581326
-7.0,7,22.581401
-200.0,200,22.753477
-182.0,182,22.753606
-103.0,103,22.753681
-103.0,103,22.753737
-200.0,200,22.901584
-89.0,89,22.901711
-89.0,89,22.901778
-200.0,200,22.913397
-94.0,94,22.91351
-7.0,7,22.913574
-7.0,7,22.913653
-200.0,200,23.157935
-182.0,182,23.158064
-147.0,147,23.158131
-147.0,147,23.158188
-200.0,200,23.207396
-94.0,94,23.207528
-27.0,27,23.207596
-27.0,27,23.207655
-200.0,200,23.35738
-89.0,89,23.357495
-89.0,89,23.357561
-200.0,200,23.407212
-182.0,182,23.407344
-30.0,30,23.407411
-30.0,30,23.40747
-200.0,200,23.650663
-182.0,182,23.650807
-147.0,147,23.650878
-147.0,147,23.650936
-200.0,200,23.940735
-182.0,182,23.940854
-182.0,182,23.940911
-200.0,200,23.95107
-94.0,94,23.951187
-7.0,7,23.951275
-7.0,7,23.951352
-200.0,200,24.09018
-96.0,96,24.090299
-96.0,96,24.090357
-200.0,200,24.135309
-32.0,32,24.135426
-32.0,32,24.135482
-200.0,200,24.270693
-94.0,94,24.270822
-94.0,94,24.270882
-200.0,200,24.40588
-94.0,94,24.405997
-94.0,94,24.406054
-200.0,200,24.558116
-94.0,94,24.558239
-94.0,94,24.558302
-200.0,200,24.613914
-32.0,32,24.614037
-32.0,32,24.614099
-200.0,200,24.752521
-89.0,89,24.752647
-89.0,89,24.752712
-200.0,200,24.923085
-182.0,182,24.923199
-103.0,103,24.923264
-103.0,103,24.92332
-200.0,200,24.934603
-94.0,94,24.934713
-7.0,7,24.934773
-7.0,7,24.934836
-200.0,200,24.985538
-32.0,32,24.985663
-32.0,32,24.985726
-200.0,200,25.033477
-182.0,182,25.0336
-30.0,30,25.033664
-30.0,30,25.033719
-200.0,200,25.088589
