#{"t_start": 1541060160.295528, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.508481
-200.0,200,0.623875
-200.0,200,0.816195
-200.0,200,0.816309
-200.0,200,0.980488
-200.0,200,0.980768
-200.0,200,1.204026
-200.0,200,1.204209
-200.0,200,1.61764
-200.0,200,1.617733
-200.0,200,1.705183
-65.0,65,1.705297
-65.0,65,1.705353
-200.0,200,2.022101
-200.0,200,2.022235
-200.0,200,2.187122
-94.0,94,2.18726
-94.0,94,2.18733
-200.0,200,2.23223
-94.0,94,2.232361
-27.0,27,2.232428
-27.0,27,2.232485
-200.0,200,2.5797
-200.0,200,2.579838
-200.0,200,2.631077
-94.0,94,2.631207
-27.0,27,2.631277
-27.0,27,2.631337
-200.0,200,2.793782
-94.0,94,2.793905
-94.0,94,2.793975
-200.0,200,2.847531
-32.0,32,2.84766
-32.0,32,2.847727
-200.0,200,2.900892
-32.0,32,2.901021
-32.0,32,2.901087
-200.0,200,3.245507
-200.0,200,3.245637
-200.0,200,3.30418
-32.0,32,3.3043
-32.0,32,3.304364
-200.0,200,3.351021
-94.0,94,3.351153
-27.0,27,3.351221
-27.0,27,3.351278
-200.0,200,3.515479
-94.0,94,3.515604
-94.0,94,3.515671
-200.0,200,3.860977
-200.0,200,3.861107
-200.0,200,3.906457
-94.0,94,3.906591
-27.0,27,3.906659
-27.0,27,3.906717
-200.0,200,4.070485
-94.0,94,4.070615
-94.0,94,4.070684
-200.0,200,4.116041
-94.0,94,4.116171
-27.0,27,4.116237
-27.0,27,4.116294
-200.0,200,4.162168
-94.0,94,4.162303
-27.0,27,4.162372
-27.0,27,4.162431
-200.0,200,4.27827
-65.0,65,4.278403
-65.0,65,4.278472
-200.0,200,4.622932
-200.0,200,4.623068
-200.0,200,4.678148
-32.0,32,4.678279
-32.0,32,4.678347
-200.0,200,4.792319
-65.0,65,4.792453
-65.0,65,4.792523
-200.0,200,5.140144
-200.0,200,5.14028
-200.0,200,5.187745
-94.0,94,5.187884
-27.0,27,5.187954
-27.0,27,5.188011
-200.0,200,5.248011
-32.0,32,5.248143
-32.0,32,5.24821
-200.0,200,5.415828
-94.0,94,5.415963
-94.0,94,5.416029
-200.0,200,5.791564
-200.0,200,5.791708
-200.0,200,5.85381
-32.0,32,5.853956
-32.0,32,5.854032
-200.0,200,5.907347
-94.0,94,5.907491
-27.0,27,5.907567
-27.0,27,5.907633
-200.0,200,6.303509
-200.0,200,6.303655
-200.0,200,6.362515
-94.0,94,6.362641
-27.0,27,6.362718
-27.0,27,6.362783
-200.0,200,6.758716
-200.0,200,6.758842
-200.0,200,6.821605
-32.0,32,6.821746
-32.0,32,6.821822
-200.0,200,7.010483
-94.0,94,7.010623
-94.0,94,7.010698
-200.0,200,7.198903
-94.0,94,7.199046
-94.0,94,7.199124
-200.0,200,7.260681
-32.0,32,7.260824
-32.0,32,7.260899
-200.0,200,7.660839
-200.0,200,7.660997
-200.0,200,8.059436
-200.0,200,8.059583
-200.0,200,8.453643
-200.0,200,8.453794
-200.0,200,8.505845
-94.0,94,8.505986
-27.0,27,8.506062
-27.0,27,8.506129
-200.0,200,8.562894
-94.0,94,8.563029
-27.0,27,8.563106
-27.0,27,8.563172
-200.0,200,8.983587
-200.0,200,8.983742
-200.0,200,9.443393
-200.0,200,9.443548
-200.0,200,9.661942
-94.0,94,9.662085
-94.0,94,9.662173
-200.0,200,10.096536
-182.0,182,10.09673
-182.0,182,10.096839
-200.0,200,10.359565
-96.0,96,10.359759
-96.0,96,10.359881
-200.0,200,10.439945
-94.0,94,10.440123
-27.0,27,10.440227
-27.0,27,10.440318
-200.0,200,10.705473
-96.0,96,10.705646
-96.0,96,10.705751
-200.0,200,11.205322
-182.0,182,11.205508
-182.0,182,11.205615
-200.0,200,11.284495
-94.0,94,11.284682
-27.0,27,11.284786
-27.0,27,11.284878
-200.0,200,11.461059
-65.0,65,11.461245
