#{"t_start": 1541062992.020167, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.50345
-200.0,200,0.652566
-200.0,200,0.802574
-200.0,200,0.802712
-200.0,200,1.025908
-200.0,200,1.026162
-200.0,200,1.193457
-200.0,200,1.19358
-200.0,200,1.610876
-200.0,200,1.610985
-200.0,200,1.70676
-65.0,65,1.706881
-65.0,65,1.706945
-200.0,200,2.013975
-200.0,200,2.014097
-200.0,200,2.160847
-94.0,94,2.160973
-94.0,94,2.161035
-200.0,200,2.20155
-94.0,94,2.201669
-27.0,27,2.201731
-27.0,27,2.201784
-200.0,200,2.508212
-200.0,200,2.508335
-200.0,200,2.553969
-94.0,94,2.55409
-27.0,27,2.554151
-27.0,27,2.554203
-200.0,200,2.699663
-94.0,94,2.699779
-94.0,94,2.699843
-200.0,200,2.747679
-32.0,32,2.7478
-32.0,32,2.747859
-200.0,200,2.795768
-32.0,32,2.79589
-32.0,32,2.795952
-200.0,200,3.098616
-200.0,200,3.098732
-200.0,200,3.143092
-32.0,32,3.14319
-32.0,32,3.143253
-200.0,200,3.177072
-94.0,94,3.177177
-27.0,27,3.177231
-27.0,27,3.177275
-200.0,200,3.304767
-94.0,94,3.304876
-94.0,94,3.304931
-200.0,200,3.571737
-200.0,200,3.571847
-200.0,200,3.608312
-94.0,94,3.608418
-27.0,27,3.608472
-27.0,27,3.608519
-200.0,200,3.736768
-94.0,94,3.73688
-94.0,94,3.736933
-200.0,200,3.772511
-94.0,94,3.772619
-27.0,27,3.772671
-27.0,27,3.772717
-200.0,200,3.808258
-94.0,94,3.808367
-27.0,27,3.808422
-27.0,27,3.808469
-200.0,200,3.898923
-65.0,65,3.899038
-65.0,65,3.899091
-200.0,200,4.167108
-200.0,200,4.167228
-200.0,200,4.209145
-32.0,32,4.209255
-32.0,32,4.209308
-200.0,200,4.296394
-65.0,65,4.296505
-65.0,65,4.296558
-200.0,200,4.57138
-200.0,200,4.571513
-200.0,200,4.615282
-94.0,94,4.615407
-27.0,27,4.615473
-27.0,27,4.61553
-200.0,200,4.673955
-32.0,32,4.674083
-32.0,32,4.67415
-200.0,200,4.830062
-94.0,94,4.830185
-94.0,94,4.830252
-200.0,200,5.155872
-200.0,200,5.155987
-200.0,200,5.201228
-32.0,32,5.201345
-32.0,32,5.201403
-200.0,200,5.239797
-94.0,94,5.239911
-27.0,27,5.239968
-27.0,27,5.240017
-200.0,200,5.582708
-200.0,200,5.582847
-200.0,200,5.634727
-94.0,94,5.634844
-27.0,27,5.634915
-27.0,27,5.634976
-200.0,200,5.992923
-200.0,200,5.993044
-200.0,200,6.050329
-32.0,32,6.050468
-32.0,32,6.050537
-200.0,200,6.222513
-94.0,94,6.222648
-94.0,94,6.222719
-200.0,200,6.393612
-94.0,94,6.393745
-94.0,94,6.393815
-200.0,200,6.444616
-32.0,32,6.444711
-32.0,32,6.444756
-200.0,200,6.709623
-200.0,200,6.709731
-200.0,200,6.980056
-200.0,200,6.980165
-200.0,200,7.249481
-200.0,200,7.249595
-200.0,200,7.285915
-94.0,94,7.286025
-27.0,27,7.286079
-27.0,27,7.286125
-200.0,200,7.326188
-94.0,94,7.326294
-27.0,27,7.32635
-27.0,27,7.326398
-200.0,200,7.596818
-200.0,200,7.596923
-200.0,200,7.864909
-200.0,200,7.865012
-200.0,200,7.993199
-94.0,94,7.993295
-94.0,94,7.993347
-200.0,200,8.237974
-182.0,182,8.238094
-182.0,182,8.23815
-200.0,200,8.367266
-96.0,96,8.36738
-96.0,96,8.36744
-200.0,200,8.407083
-94.0,94,8.407189
-27.0,27,8.407253
-27.0,27,8.407302
-200.0,200,8.541102
-96.0,96,8.541195
-96.0,96,8.541247
-200.0,200,8.780394
-182.0,182,8.780505
-182.0,182,8.780555
-200.0,200,8.818152
-94.0,94,8.81826
-27.0,27,8.818313
-27.0,27,8.818358
-200.0,200,8.899014
-65.0,65,8.899117
-65.0,65,8.899167
-200.0,200,9.024368
-96.0,96,9.024479
-96.0,96,9.024532
-200.0,200,9.269458
-182.0,182,9.269572
-182.0,182,9.269625
-200.0,200,9.311618
-32.0,32,9.311728
-32.0,32,9.311781
-200.0,200,9.358258
-32.0,32,9.35837
-32.0,32,9.358423
-200.0,200,9.400487
-32.0,32,9.400597
-32.0,32,9.400649
-200.0,200,9.490488
-65.0,65,9.490602
-65.0,65,9.490661
-200.0,200,9.538557
-32.0,32,9.538673
-32.0,32,9.538734
-200.0,200,9.834017
-200.0,200,9.834146
-200.0,200,9.878212
-94.0,94,9.878339
-27.0,27,9.878406
-27.0,27,9.878463
-200.0,200,9.935203
-32.0,32,9.93533
-32.0,32,9.935397
-200.0,200,10.240807
-200.0,200,10.240925
-200.0,200,10.393898
-96.0,96,10.394009
-96.0,96,10.394074
-200.0,200,10.709927
-200.0,200,10.710041
-200.0,200,10.855806
-94.0,94,10.855932
-94.0,94,10.855997
-200.0,200,10.903418
-94.0,94,10.903555
-27.0,27,10.903621
-27.0,27,10.903678
-200.0,200,11.005239
-65.0,65,11.005364
-65.0,65,11.005428
-200.0,200,11.052401
-94.0,94,11.052531
-27.0,27,11.052595
-27.0,27,11.05265
-200.0,200,11.153585
-65.0,65,11.153713
-65.0,65,11.153778
-200.0,200,11.302775
-94.0,94,11.302906
-94.0,94,11.302971
-200.0,200,11.357469
-32.0,32,11.357589
-32.0,32,11.357652
-200.0,200,11.457071
-65.0,65,11.457198
-65.0,65,11.457261
-200.0,200,11.512545
-32.0,32,11.51266
-32.0,32,11.512723
-200.0,200,11.797265
-182.0,182,11.797395
-182.0,182,11.79746
-200.0,200,11.950007
-96.0,96,11.950135
-96.0,96,11.950199
-200.0,200,12.268626
-200.0,200,12.268752
-200.0,200,12.322643
-32.0,32,12.322754
-32.0,32,12.322807
-200.0,200,12.36702
-32.0,32,12.367135
-32.0,32,12.367191
-200.0,200,12.643648
-200.0,200,12.643762
-200.0,200,12.773875
-94.0,94,12.773988
-94.0,94,12.774044
-200.0,200,12.811504
-94.0,94,12.81162
-27.0,27,12.811678
-27.0,27,12.811729
-200.0,200,12.903838
-65.0,65,12.903954
-65.0,65,12.90401
-200.0,200,13.157664
-182.0,182,13.157776
-182.0,182,13.157833
-200.0,200,13.414695
-182.0,182,13.414805
-182.0,182,13.414858
-200.0,200,13.452499
-94.0,94,13.452606
-27.0,27,13.452655
-27.0,27,13.452698
-200.0,200,13.486543
-94.0,94,13.486646
-27.0,27,13.486696
-27.0,27,13.486739
-200.0,200,13.520862
-94.0,94,13.520967
-27.0,27,13.521018
-27.0,27,13.521063
-200.0,200,13.566178
-32.0,32,13.566282
-32.0,32,13.566334
-200.0,200,13.809631
-182.0,182,13.809743
-182.0,182,13.809798
-200.0,200,13.93359
-94.0,94,13.933695
-94.0,94,13.933745
-200.0,200,14.05581
-96.0,96,14.055919
-96.0,96,14.055971
-200.0,200,14.323871
-200.0,200,14.323983
-200.0,200,14.568247
-182.0,182,14.568365
-182.0,182,14.568422
-200.0,200,14.698367
-96.0,96,14.698478
-96.0,96,14.698532
-200.0,200,14.947305
-182.0,182,14.947415
-182.0,182,14.947471
-200.0,200,14.987347
-182.0,182,14.987458
-30.0,30,14.987512
-30.0,30,14.987559
-200.0,200,15.027457
-182.0,182,15.027568
-30.0,30,15.027621
-30.0,30,15.027668
-200.0,200,15.066884
-94.0,94,15.066999
-27.0,27,15.067054
-27.0,27,15.067101
-200.0,200,15.33616
-200.0,200,15.336269
-200.0,200,15.462889
-94.0,94,15.462998
-94.0,94,15.463052
-200.0,200,15.505044
-32.0,32,15.505152
-32.0,32,15.505205
-200.0,200,15.625848
-89.0,89,15.625963
-89.0,89,15.626018
-200.0,200,15.665513
-182.0,182,15.665626
-30.0,30,15.66568
-30.0,30,15.665727
-200.0,200,15.791354
-94.0,94,15.79147
-94.0,94,15.792555
-200.0,200,15.834821
-32.0,32,15.834928
-32.0,32,15.834982
-200.0,200,15.875485
-94.0,94,15.8756
-27.0,27,15.875656
-27.0,27,15.875704
-200.0,200,16.070435
-182.0,182,16.070548
-147.0,147,16.070601
-147.0,147,16.070647
-200.0,200,16.434147
-200.0,200,16.434288
-200.0,200,16.602892
-89.0,89,16.603037
-89.0,89,16.603112
-200.0,200,16.782831
-94.0,94,16.782977
-94.0,94,16.783051
-200.0,200,16.832302
-94.0,94,16.832442
-27.0,27,16.832515
-27.0,27,16.832579
-200.0,200,17.000569
-89.0,89,17.000713
-89.0,89,17.000791
-200.0,200,17.125909
-65.0,65,17.126053
-65.0,65,17.126126
-200.0,200,17.309655
-96.0,96,17.3098
-96.0,96,17.309875
-200.0,200,17.586228
-182.0,182,17.586395
-147.0,147,17.586484
