#{"t_start": 1541111540.8588915, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.50891
-200.0,200,0.618013
-200.0,200,0.717577
-200.0,200,0.71769
-200.0,200,0.820405
-200.0,200,0.820507
-200.0,200,0.921144
-200.0,200,0.921237
-200.0,200,1.283054
-200.0,200,1.283321
-200.0,200,1.374478
-65.0,65,1.3746
-65.0,65,1.37466
-200.0,200,1.667044
-200.0,200,1.667364
-200.0,200,1.804679
-94.0,94,1.804802
-94.0,94,1.804862
-200.0,200,1.84221
-94.0,94,1.842328
-27.0,27,1.842388
-27.0,27,1.842439
-200.0,200,2.13859
-200.0,200,2.138716
-200.0,200,2.179646
-94.0,94,2.179753
-27.0,27,2.179801
-27.0,27,2.179842
-200.0,200,2.320272
-94.0,94,2.320416
-94.0,94,2.32063
-200.0,200,2.365097
-32.0,32,2.365233
-32.0,32,2.365299
-200.0,200,2.410973
-32.0,32,2.411077
-32.0,32,2.411135
-200.0,200,2.70099
-200.0,200,2.701265
-200.0,200,2.748349
-32.0,32,2.748456
-32.0,32,2.748515
-200.0,200,2.788274
-94.0,94,2.788391
-27.0,27,2.788449
-27.0,27,2.7885
-200.0,200,2.927039
-94.0,94,2.927158
-94.0,94,2.927217
-200.0,200,3.215531
-200.0,200,3.21565
-200.0,200,3.25513
-94.0,94,3.255247
-27.0,27,3.255304
-27.0,27,3.255354
-200.0,200,3.394006
-94.0,94,3.394124
-94.0,94,3.394182
-200.0,200,3.431272
-94.0,94,3.431388
-27.0,27,3.431446
-27.0,27,3.431495
-200.0,200,3.470332
-94.0,94,3.470462
-27.0,27,3.470527
-27.0,27,3.470585
-200.0,200,3.566447
-65.0,65,3.566564
-65.0,65,3.56662
-200.0,200,3.857901
-200.0,200,3.858028
-200.0,200,3.904536
-32.0,32,3.904657
-32.0,32,3.904715
-200.0,200,3.999215
-65.0,65,3.999331
-65.0,65,3.999389
-200.0,200,4.291351
-200.0,200,4.291472
-200.0,200,4.330045
-94.0,94,4.330161
-27.0,27,4.33022
-27.0,27,4.330272
-200.0,200,4.381154
-32.0,32,4.381273
-32.0,32,4.381331
-200.0,200,4.522097
-94.0,94,4.522215
-94.0,94,4.522274
-200.0,200,4.808939
-200.0,200,4.809094
-200.0,200,4.855433
-32.0,32,4.855544
-32.0,32,4.855609
-200.0,200,4.894379
-94.0,94,4.894509
-27.0,27,4.89458
-27.0,27,4.894638
-200.0,200,5.179819
-200.0,200,5.179938
-200.0,200,5.22094
-94.0,94,5.221053
-27.0,27,5.221109
-27.0,27,5.22117
-200.0,200,5.508382
-200.0,200,5.508485
-200.0,200,5.553411
-32.0,32,5.553532
-32.0,32,5.553591
-200.0,200,5.691816
-94.0,94,5.691939
-94.0,94,5.691996
-200.0,200,5.831156
-94.0,94,5.831273
-94.0,94,5.831331
-200.0,200,5.879665
-32.0,32,5.879787
-32.0,32,5.879845
-200.0,200,6.171638
-200.0,200,6.171809
-200.0,200,6.461687
-200.0,200,6.461807
-200.0,200,6.756117
-200.0,200,6.756236
-200.0,200,6.793584
-94.0,94,6.793704
-27.0,27,6.793762
-27.0,27,6.793813
