#{"t_start": 1541067441.4298346, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.497322
-200.0,200,0.603515
-200.0,200,0.695081
-200.0,200,0.695162
-200.0,200,0.788895
-200.0,200,0.788982
-200.0,200,0.88148
-200.0,200,0.881568
-200.0,200,1.286305
-200.0,200,1.286391
-200.0,200,1.374532
-65.0,65,1.374712
-65.0,65,1.374763
-200.0,200,1.68953
-200.0,200,1.689739
-200.0,200,1.819912
-94.0,94,1.820014
-94.0,94,1.820061
-200.0,200,1.856217
-94.0,94,1.856319
-27.0,27,1.856366
-27.0,27,1.856407
-200.0,200,2.127652
-200.0,200,2.127769
-200.0,200,2.166419
-94.0,94,2.166526
-27.0,27,2.166578
-27.0,27,2.166652
-200.0,200,2.294116
-94.0,94,2.294267
-94.0,94,2.294321
-200.0,200,2.338016
-32.0,32,2.338131
-32.0,32,2.338177
-200.0,200,2.382935
-32.0,32,2.383057
-32.0,32,2.383102
-200.0,200,2.652629
-200.0,200,2.652736
-200.0,200,2.697582
-32.0,32,2.697672
-32.0,32,2.697716
-200.0,200,2.733316
-94.0,94,2.733421
-27.0,27,2.733486
-27.0,27,2.733541
-200.0,200,2.863754
-94.0,94,2.86386
-94.0,94,2.863908
-200.0,200,3.13874
-200.0,200,3.138862
-200.0,200,3.174645
-94.0,94,3.174761
-27.0,27,3.174808
-27.0,27,3.174849
-200.0,200,3.304506
-94.0,94,3.304642
-94.0,94,3.304691
-200.0,200,3.339978
-94.0,94,3.340084
-27.0,27,3.340135
-27.0,27,3.340194
-200.0,200,3.375162
-94.0,94,3.37526
-27.0,27,3.375305
-27.0,27,3.375344
-200.0,200,3.4645
-65.0,65,3.4646
-65.0,65,3.464647
-200.0,200,3.749268
-200.0,200,3.749365
-200.0,200,3.791044
-32.0,32,3.791139
-32.0,32,3.791184
-200.0,200,3.881459
-65.0,65,3.881569
-65.0,65,3.881618
-200.0,200,4.162959
-200.0,200,4.163058
-200.0,200,4.20022
-94.0,94,4.200316
-27.0,27,4.200364
-27.0,27,4.200419
-200.0,200,4.251024
-32.0,32,4.251127
-32.0,32,4.251178
-200.0,200,4.385353
-94.0,94,4.385457
-94.0,94,4.385507
-200.0,200,4.663184
-200.0,200,4.663287
-200.0,200,4.706572
-32.0,32,4.706667
-32.0,32,4.706711
-200.0,200,4.745228
-94.0,94,4.745339
-27.0,27,4.745384
-27.0,27,4.745423
-200.0,200,5.029183
-200.0,200,5.029299
-200.0,200,5.070158
-94.0,94,5.07024
-27.0,27,5.070287
-27.0,27,5.070327
-200.0,200,5.352688
-200.0,200,5.352775
-200.0,200,5.398343
-32.0,32,5.398442
-32.0,32,5.398503
-200.0,200,5.532588
-94.0,94,5.532686
-94.0,94,5.532731
-200.0,200,5.669853
-94.0,94,5.669957
-94.0,94,5.670033
-200.0,200,5.716581
-32.0,32,5.71668
-32.0,32,5.716742
-200.0,200,6.00015
-200.0,200,6.000268
-200.0,200,6.271867
-200.0,200,6.271978
-200.0,200,6.547853
-200.0,200,6.547956
-200.0,200,6.58658
-94.0,94,6.586677
-27.0,27,6.586723
-27.0,27,6.586762
-200.0,200,6.626276
-94.0,94,6.62639
-27.0,27,6.62644
-27.0,27,6.626494
-200.0,200,6.909762
-200.0,200,6.909866
-200.0,200,7.197157
-200.0,200,7.19725
-200.0,200,7.32976
-94.0,94,7.329847
-94.0,94,7.329894
-200.0,200,7.579774
-182.0,182,7.579879
-182.0,182,7.579961
-200.0,200,7.716035
-96.0,96,7.716135
-96.0,96,7.716181
-200.0,200,7.759406
-94.0,94,7.759507
-27.0,27,7.759558
-27.0,27,7.759631
-200.0,200,7.896996
-96.0,96,7.897123
-96.0,96,7.897187
-200.0,200,8.157073
-182.0,182,8.157229
-182.0,182,8.157275
-200.0,200,8.200684
-94.0,94,8.200782
-27.0,27,8.200828
-27.0,27,8.200867
-200.0,200,8.290424
-65.0,65,8.290521
-65.0,65,8.290568
-200.0,200,8.428087
-96.0,96,8.428192
-96.0,96,8.428253
-200.0,200,8.687711
-182.0,182,8.687814
-182.0,182,8.687862
-200.0,200,8.733012
-32.0,32,8.733145
-32.0,32,8.733209
-200.0,200,8.7812
-32.0,32,8.781322
-32.0,32,8.781398
-200.0,200,8.83013
-32.0,32,8.830259
-32.0,32,8.830307
-200.0,200,8.925935
-65.0,65,8.926034
-65.0,65,8.926079
-200.0,200,8.970539
-32.0,32,8.970673
-32.0,32,8.970719
-200.0,200,9.250206
-200.0,200,9.250309
-200.0,200,9.288469
-94.0,94,9.288583
-27.0,27,9.288628
-27.0,27,9.288668
-200.0,200,9.336405
-32.0,32,9.33652
-32.0,32,9.336566
-200.0,200,9.621555
-200.0,200,9.621686
-200.0,200,9.758511
-96.0,96,9.758602
-96.0,96,9.758649
-200.0,200,10.043389
-200.0,200,10.04349
-200.0,200,10.183108
-94.0,94,10.183243
-94.0,94,10.18331
-200.0,200,10.22604
-94.0,94,10.226181
-27.0,27,10.226241
-27.0,27,10.22628
-200.0,200,10.320466
-65.0,65,10.320559
-65.0,65,10.320604
-200.0,200,10.360297
-94.0,94,10.360413
-27.0,27,10.360459
-27.0,27,10.360499
-200.0,200,10.447208
-65.0,65,10.447318
-65.0,65,10.447364
-200.0,200,10.575013
-94.0,94,10.575121
-94.0,94,10.575172
-200.0,200,10.619333
-32.0,32,10.619441
-32.0,32,10.619486
-200.0,200,10.705327
-65.0,65,10.705431
-65.0,65,10.705483
-200.0,200,10.750183
-32.0,32,10.750295
-32.0,32,10.750342
-200.0,200,10.999029
-182.0,182,10.999132
-182.0,182,10.999183
-200.0,200,11.138613
-96.0,96,11.13871
-96.0,96,11.138757
-200.0,200,11.423693
-200.0,200,11.423788
-200.0,200,11.472859
-32.0,32,11.472955
-32.0,32,11.473002
-200.0,200,11.518822
-32.0,32,11.51895
-32.0,32,11.519031
-200.0,200,11.816268
-200.0,200,11.816362
-200.0,200,11.94591
-94.0,94,11.946024
-94.0,94,11.946072
-200.0,200,11.984946
-94.0,94,11.985075
-27.0,27,11.985154
-27.0,27,11.985226
-200.0,200,12.079778
-65.0,65,12.07991
-65.0,65,12.079954
-200.0,200,12.340369
-182.0,182,12.340466
-182.0,182,12.340513
-200.0,200,12.589305
-182.0,182,12.589412
-182.0,182,12.589463
-200.0,200,12.630297
-94.0,94,12.630421
-27.0,27,12.630481
-27.0,27,12.63052
-200.0,200,12.668319
-94.0,94,12.66842
-27.0,27,12.668483
-27.0,27,12.668523
-200.0,200,12.705659
-94.0,94,12.705765
-27.0,27,12.70583
-27.0,27,12.705887
-200.0,200,12.752787
-32.0,32,12.752882
-32.0,32,12.752928
-200.0,200,13.012549
-182.0,182,13.012651
-182.0,182,13.012715
-200.0,200,13.147986
-94.0,94,13.148086
-94.0,94,13.148136
-200.0,200,13.282201
-96.0,96,13.282309
-96.0,96,13.282389
-200.0,200,13.561207
-200.0,200,13.561307
-200.0,200,13.819842
-182.0,182,13.819957
-182.0,182,13.820003
-200.0,200,13.952316
-96.0,96,13.952454
-96.0,96,13.952506
-200.0,200,14.208515
-182.0,182,14.208645
-182.0,182,14.208694
-200.0,200,14.250033
-182.0,182,14.25015
-30.0,30,14.250213
-30.0,30,14.250252
-200.0,200,14.291492
-182.0,182,14.291626
-30.0,30,14.291671
-30.0,30,14.291711
-200.0,200,14.331588
-94.0,94,14.331701
-27.0,27,14.331746
-27.0,27,14.331784
-200.0,200,14.600572
-200.0,200,14.600673
-200.0,200,14.727356
-94.0,94,14.727468
-94.0,94,14.727514
-200.0,200,14.770622
-32.0,32,14.770722
-32.0,32,14.770769
-200.0,200,14.891214
-89.0,89,14.891312
-89.0,89,14.891359
-200.0,200,14.931776
-182.0,182,14.931872
-30.0,30,14.931917
-30.0,30,14.931956
-200.0,200,15.057871
-94.0,94,15.057982
-94.0,94,15.058035
-200.0,200,15.099522
-32.0,32,15.09962
-32.0,32,15.099682
-200.0,200,15.140934
-94.0,94,15.141052
-27.0,27,15.141099
-27.0,27,15.14114
-200.0,200,15.342186
-182.0,182,15.342308
-147.0,147,15.342369
-147.0,147,15.342408
-200.0,200,15.617653
-200.0,200,15.61776
-200.0,200,15.742577
-89.0,89,15.742679
-89.0,89,15.742729
-200.0,200,15.874226
-94.0,94,15.874345
-94.0,94,15.874408
-200.0,200,15.912143
-94.0,94,15.912241
-27.0,27,15.912287
-27.0,27,15.912326
-200.0,200,16.033543
-89.0,89,16.033687
-89.0,89,16.033734
-200.0,200,16.124705
-65.0,65,16.124802
-65.0,65,16.124846
-200.0,200,16.254978
-96.0,96,16.255079
-96.0,96,16.255126
-200.0,200,16.452644
-182.0,182,16.452758
-147.0,147,16.452812
-147.0,147,16.452861
-200.0,200,16.498395
-32.0,32,16.498501
-32.0,32,16.498553
-200.0,200,16.746453
-182.0,182,16.746559
-182.0,182,16.746611
-200.0,200,16.791451
-182.0,182,16.791591
-30.0,30,16.791656
-30.0,30,16.791714
-200.0,200,16.836266
-32.0,32,16.836363
-32.0,32,16.836409
-200.0,200,16.980077
-182.0,182,16.980192
-103.0,103,16.980254
-103.0,103,16.980293
-200.0,200,17.109051
-89.0,89,17.109149
-89.0,89,17.109195
-200.0,200,17.11839
-94.0,94,17.118483
-7.0,7,17.118534
-7.0,7,17.118609
-200.0,200,17.164637
-32.0,32,17.16475
-32.0,32,17.164796
-200.0,200,17.371897
-182.0,182,17.372002
-147.0,147,17.372053
-147.0,147,17.372098
-200.0,200,17.38138
-94.0,94,17.381472
-7.0,7,17.381538
-7.0,7,17.381601
-200.0,200,17.520998
-182.0,182,17.521102
-103.0,103,17.521152
-103.0,103,17.5212
-200.0,200,17.643217
-89.0,89,17.643353
-89.0,89,17.643404
-200.0,200,17.653085
-94.0,94,17.653184
-7.0,7,17.653229
-7.0,7,17.65327
-200.0,200,17.859136
-182.0,182,17.859235
-147.0,147,17.859281
-147.0,147,17.859321
-200.0,200,17.901677
-94.0,94,17.901784
-27.0,27,17.901846
-27.0,27,17.901901
-200.0,200,18.02665
-89.0,89,18.026737
-89.0,89,18.026782
-200.0,200,18.067565
-182.0,182,18.067658
-30.0,30,18.067705
-30.0,30,18.067745
-200.0,200,18.272096
-182.0,182,18.272192
-147.0,147,18.272238
-147.0,147,18.272278
-200.0,200,18.526804
-182.0,182,18.526914
-182.0,182,18.526964
-200.0,200,18.537002
-94.0,94,18.537089
-7.0,7,18.537134
-7.0,7,18.537172
-200.0,200,18.677336
-96.0,96,18.67744
-96.0,96,18.677504
-200.0,200,18.723162
-32.0,32,18.723273
-32.0,32,18.72332
-200.0,200,18.847562
-94.0,94,18.847662
-94.0,94,18.847708
-200.0,200,18.977797
-94.0,94,18.977897
-94.0,94,18.977943
-200.0,200,19.108647
-94.0,94,19.108744
-94.0,94,19.108805
-200.0,200,19.15531
-32.0,32,19.155417
-32.0,32,19.155462
-200.0,200,19.276245
-89.0,89,19.276344
-89.0,89,19.276408
-200.0,200,19.418937
-182.0,182,19.419048
-103.0,103,19.419128
-103.0,103,19.419169
-200.0,200,19.428913
-94.0,94,19.428998
-7.0,7,19.429043
-7.0,7,19.429082
-200.0,200,19.472801
-32.0,32,19.472902
-32.0,32,19.472949
-200.0,200,19.513932
-182.0,182,19.514069
-30.0,30,19.514131
-30.0,30,19.514169
-200.0,200,19.561724
-32.0,32,19.561814
-32.0,32,19.561859
-200.0,200,19.68281
-89.0,89,19.682914
-89.0,89,19.682965
-200.0,200,19.730182
-32.0,32,19.730281
-32.0,32,19.730327
-200.0,200,19.732196
-94.0,94,19.732281
-1.0,1,19.732326
-1.0,1,19.732365
-200.0,200,19.734041
-94.0,94,19.734111
-1.0,1,19.734155
-1.0,1,19.734195
-200.0,200,19.771399
-94.0,94,19.771495
-27.0,27,19.77154
-27.0,27,19.771579
-200.0,200,19.773129
-94.0,94,19.773239
-1.0,1,19.773285
-1.0,1,19.773325
-200.0,200,19.782613
-94.0,94,19.782699
-7.0,7,19.782759
-7.0,7,19.782816
-200.0,200,19.99174
-182.0,182,19.991841
-147.0,147,19.991903
-147.0,147,19.991943
-200.0,200,20.03585
-32.0,32,20.035953
-32.0,32,20.036018
-200.0,200,20.292861
-182.0,182,20.292976
-182.0,182,20.293038
-200.0,200,20.294645
-94.0,94,20.294724
-1.0,1,20.294784
-1.0,1,20.294824
-200.0,200,20.339526
-32.0,32,20.339625
-32.0,32,20.339673
-200.0,200,20.562265
-182.0,182,20.562365
-157.0,157,20.562427
-157.0,157,20.562467
-200.0,200,20.687657
-89.0,89,20.687743
-89.0,89,20.687793
